3602;512
1316;1025
2056;2050
5400;1027
741;516
622;516
5431;4613
4992;2779
2627;1543
2120;8
3172;3081
1221;1035
2247;1197
4243;2576
4654;2576
5296;515
660;532
3513;536
3927;1563
2803;1563
4161;1054
3917;1571
2519;1571
2042;1061
3121;3110
5610;4444
1531;555
5017;2604
4674;3629
5052;3629
4325;4293
2915;1587
2959;563
4787;52
3713;565
4202;1595
5757;1596
2902;2622
2174;576
4889;65
2377;1091
4905;581
2544;582
734;582
655;584
3514;2060
3301;3146
4937;1100
964;589
4512;4043
2220;591
3901;3153
5384;3154
5664;83
4641;2646
4951;1892
3977;3674
3725;1978
4490;1633
2982;2658
3815;2049
3596;103
2166;616
2599;106
4678;3695
2385;1649
3631;1141
4593;4214
5613;4614
2615;20
4382;4219
5713;124
4000;126
3624;3200
4300;3200
2132;129
3950;2178
4525;2692
4285;4231
3017;2699
2325;652
2191;2190
2816;1167
3227;3096
1313;148
2526;149
5612;3736
3966;3176
3083;667
5245;667
3049;1183
4280;3744
5415;4770
5525;3754
3375;3271
2888;684
1352;173
3305;2845
1402;1200
2360;691
4489;3257
5365;5293
5502;700
2245;1214
3702;3701
4874;1219
2252;1219
3818;196
5572;709
5111;1223
4694;4296
2820;203
3925;1741
4595;4302
1715;719
4437;1745
5486;1236
4274;727
3604;2264
4276;3289
3515;1754
4484;1754
3542;2255
3767;732
3233;2270
4168;3877
2660;1760
4021;1761
5175;738
5761;5755
2917;1254
2496;1768
3659;2282
4216;3310
4784;2801
3086;755
4386;757
5760;5368
4503;2809
1766;1274
2612;252
4954;4354
3619;771
4622;4482
3468;1805
4586;2319
3986;281
2769;1819
3255;2266
3635;1310
5177;1311
2004;288
4458;291
2727;2341
3956;1320
2069;220
5712;1834
2514;1845
598;316
4554;3466
3142;1856
4413;4320
2380;2374
5127;3403
5438;5224
4499;4436
4461;3214
4551;1366
2137;1371
3577;2396
4802;349
4100;349
5089;4446
3236;2400
4919;4155
5598;356
4568;4454
4374;2408
4197;1389
2996;1907
5765;5342
3958;3452
4120;3170
3909;1918
5705;3456
3907;3458
3292;1925
3693;903
3129;2952
4147;1418
4680;908
2381;400
5574;5009
4902;919
3259;922
4238;1947
4729;924
3183;1946
3500;3141
5227;1952
5110;930
1036;421
5179;2473
4345;3498
5145;2987
4659;3501
3923;3501
3703;2478
2810;1970
5377;5044
4193;1462
5120;2633
1392;952
2831;952
2304;1466
3093;2942
4665;4029
1652;448
5455;449
3643;962
3862;3526
3537;455
535;455
4377;1480
4644;1612
4523;3018
2623;1995
1879;1485
5750;4046
5522;4559
5043;4051
5183;4780
4488;4057
3381;475
4573;4061
3557;478
1212;991
4511;3553
2041;2019
725;485
3454;2535
5203;4585
2931;495
2073;496
3974;3058
4917;4521
3647;3064
3102;3069
2244;2046
